,Score_Prob
0,0.3060084939755196
1,0.4114914745988439
2,0.12484227499700747
3,0.09140380591521349
4,0.5997176135980049
5,0.1521228970726318
6,0.465875547513684
7,0.18010745399752526
8,0.35747491965342637
9,0.11020931655728736
10,0.4462592075609482
11,0.12454851734751424
12,0.006756338569826586
13,0.10923535590622292
14,0.12491580716433986
15,0.15670708858615218
16,0.19513851925175366
17,0.3478966780083266
18,0.12491580716433986
19,0.09822070072276208
20,0.3768280207616694
21,0.12491580716433986
22,0.6494607147862522
23,0.7064970104957341
24,0.33513152337295576
25,0.13983570841300746
26,0.6052863597082832
27,0.1952107955265569
28,0.1373107182258313
29,0.39577158814626445
30,0.013222020271035782
31,0.22736674127249537
32,0.16779485797428534
33,0.15106934702736344
34,0.13101131743852873
35,0.1155457965078756
36,0.3601546844086815
37,0.805629908438498
38,0.7095523275405659
39,0.35174432367309666
40,0.14520546677878088
41,0.702321083753312
42,0.9573137844472741
43,0.1258632015072668
44,0.8528717215877174
45,0.4181037641551831
46,0.2200172649113813
47,0.8484724350320301
48,0.3157530682826697
49,0.8782444422199446
50,0.11624901770897175
51,0.2032462567664799
52,0.4756782119264165
53,0.8197535806640729
54,0.14861127483755324
55,0.5920430440877249
56,0.0880947327422933
57,0.12041021861203523
58,0.11831453013065088
59,0.13672079465605985
60,0.12469532199123513
61,0.098280313647952
62,0.09530918615326311
63,0.35992648746174877
64,0.09360088204425807
65,0.3577840692140277
66,0.3929879291134808
67,0.3549903646543869
68,0.1061630050615546
69,0.3721348880390656
70,0.3569100115648693
71,0.0749909663962934
72,0.20011429024105595
73,0.32209002088305844
74,0.370275528618243
75,0.12025869510834963
76,0.0749897410387288
77,0.19799087684906064
78,0.34548282206521364
79,0.40328030157236094
80,0.4134166645269628
81,0.1667533420170153
82,0.19853539807334877
83,0.12491580716433986
84,0.6943090693688126
85,0.34775690558717165
86,0.1155457965078756
87,0.14166694803933622
88,0.08544918446803842
89,0.38294305640339443
90,0.16002844194636712
91,0.0918148795810925
92,0.14537650082209
93,0.38294305640339443
94,0.4743006945855409
95,0.12726446055277357
96,0.464674905368118
97,0.7883633511458228
98,0.13554660236186888
99,0.005781379282163942
100,0.30903367288113054
101,0.14274826377011599
102,0.1521355522253828
103,0.5294167425530993
104,0.2638824588621748
105,0.1000630026128299
106,0.40568534409622414
107,0.12124208396324218
108,0.4949096179599023
109,0.10502474242581193
110,0.1649113035274181
111,0.004016566540001023
112,0.319127937246649
113,0.3397396784094504
114,0.10065934675749931
115,0.11831453013065088
116,0.5545103356718144
117,0.7773607070067858
118,0.14450065933885262
119,0.005390662939475095
120,0.6755845934562591
121,0.34450413998515206
122,0.13070510651093217
123,0.39038487997654986
124,0.3569100115648693
125,0.0788209297939127
126,0.33592037831853166
127,0.14888706492171247
128,0.3249621318617081
129,0.3333849590466803
130,0.08884000304671835
131,0.7497926670750628
132,0.8741018219517165
133,0.1188535784092125
134,0.13232043324516915
135,0.48142799881217707
136,0.4132535051192116
137,0.40155467403332645
138,0.07361841265182299
139,0.370275528618243
140,0.10923535590622292
141,0.15771073555181142
142,0.005984684340718349
143,0.12949895498837202
144,0.33560760334765466
145,0.4819845652772291
